id,ticket_id,status,category,subject,descripton,created_date,resolved_date,assigned_to,created_at
1,TCK-1001,closed,other,Issue 1 subject,Description of issue 1,8/14/2024,8/18/2024,Dana,11/28/2025 8:26
2,TCK-1002,resolved,access,Issue 2 subject,Description of issue 2,1/22/2024,1/26/2024,Evan,11/28/2025 8:26
3,TCK-1003,resolved,access,Issue 3 subject,Description of issue 3,11/28/2023,12/5/2023,Fiona,11/28/2025 8:26
4,TCK-1004,closed,access,Issue 4 subject,Description of issue 4,2/4/2024,2/7/2024,Dana,11/28/2025 8:26
5,TCK-1005,closed,hardware,Issue 5 subject,Description of issue 5,9/26/2023,10/3/2023,Dana,11/28/2025 8:26
6,TCK-1006,resolved,other,Issue 6 subject,Description of issue 6,5/2/2023,5/2/2023,Fiona,11/28/2025 8:26
7,TCK-1007,resolved,hardware,Issue 7 subject,Description of issue 7,10/17/2024,10/23/2024,Dana,11/28/2025 8:26
8,TCK-1008,closed,software,Issue 8 subject,Description of issue 8,6/3/2023,6/9/2023,Alice,11/28/2025 8:26
9,TCK-1009,closed,access,Issue 9 subject,Description of issue 9,12/26/2023,12/27/2023,Alice,11/28/2025 8:26
10,TCK-1010,resolved,hardware,Issue 10 subject,Description of issue 10,10/14/2023,10/16/2023,Alice,11/28/2025 8:26
11,TCK-1011,closed,hardware,Issue 11 subject,Description of issue 11,10/31/2023,11/10/2023,Alice,11/28/2025 8:26
12,TCK-1012,open,hardware,Issue 12 subject,Description of issue 12,2/8/2023,,Bob,11/28/2025 8:26
13,TCK-1013,closed,hardware,Issue 13 subject,Description of issue 13,5/25/2023,6/1/2023,Dana,11/28/2025 8:26
14,TCK-1014,closed,other,Issue 14 subject,Description of issue 14,9/30/2024,10/5/2024,Bob,11/28/2025 8:26
15,TCK-1015,open,network,Issue 15 subject,Description of issue 15,1/29/2023,,Bob,11/28/2025 8:26
16,TCK-1016,open,other,Issue 16 subject,Description of issue 16,6/18/2023,,Dana,11/28/2025 8:26
17,TCK-1017,open,other,Issue 17 subject,Description of issue 17,7/16/2023,,Fiona,11/28/2025 8:26
18,TCK-1018,resolved,hardware,Issue 18 subject,Description of issue 18,6/29/2023,7/9/2023,Dana,11/28/2025 8:26
19,TCK-1019,open,network,Issue 19 subject,Description of issue 19,6/6/2023,,Dana,11/28/2025 8:26
20,TCK-1020,in_progress,access,Issue 20 subject,Description of issue 20,10/31/2024,,Evan,11/28/2025 8:26
21,TCK-1021,open,hardware,Issue 21 subject,Description of issue 21,3/11/2023,,Bob,11/28/2025 8:26
22,TCK-1022,closed,software,Issue 22 subject,Description of issue 22,2/8/2024,2/12/2024,Dana,11/28/2025 8:26
23,TCK-1023,in_progress,network,Issue 23 subject,Description of issue 23,12/16/2023,,Alice,11/28/2025 8:26
24,TCK-1024,resolved,software,Issue 24 subject,Description of issue 24,1/13/2023,1/22/2023,Charlie,11/28/2025 8:26
25,TCK-1025,resolved,access,Issue 25 subject,Description of issue 25,6/8/2023,6/12/2023,Alice,11/28/2025 8:26
26,TCK-1026,in_progress,access,Issue 26 subject,Description of issue 26,3/2/2023,,Evan,11/28/2025 8:26
27,TCK-1027,closed,network,Issue 27 subject,Description of issue 27,10/15/2024,10/24/2024,Bob,11/28/2025 8:26
28,TCK-1028,closed,hardware,Issue 28 subject,Description of issue 28,10/4/2024,10/7/2024,Bob,11/28/2025 8:26
29,TCK-1029,resolved,hardware,Issue 29 subject,Description of issue 29,10/20/2023,10/25/2023,Charlie,11/28/2025 8:26
30,TCK-1030,resolved,other,Issue 30 subject,Description of issue 30,9/18/2023,9/24/2023,Bob,11/28/2025 8:26
31,TCK-1031,resolved,software,Issue 31 subject,Description of issue 31,1/23/2024,1/25/2024,Alice,11/28/2025 8:26
32,TCK-1032,in_progress,software,Issue 32 subject,Description of issue 32,3/23/2023,,Fiona,11/28/2025 8:26
33,TCK-1033,open,network,Issue 33 subject,Description of issue 33,3/15/2023,,Evan,11/28/2025 8:26
34,TCK-1034,resolved,access,Issue 34 subject,Description of issue 34,1/1/2024,1/2/2024,Fiona,11/28/2025 8:26
35,TCK-1035,resolved,network,Issue 35 subject,Description of issue 35,1/21/2023,1/29/2023,Charlie,11/28/2025 8:26
36,TCK-1036,resolved,access,Issue 36 subject,Description of issue 36,4/30/2024,5/8/2024,Alice,11/28/2025 8:26
37,TCK-1037,in_progress,hardware,Issue 37 subject,Description of issue 37,10/10/2024,,Dana,11/28/2025 8:26
38,TCK-1038,closed,other,Issue 38 subject,Description of issue 38,5/16/2023,5/23/2023,Fiona,11/28/2025 8:26
39,TCK-1039,resolved,access,Issue 39 subject,Description of issue 39,5/9/2024,5/16/2024,Charlie,11/28/2025 8:26
40,TCK-1040,closed,network,Issue 40 subject,Description of issue 40,8/31/2024,9/8/2024,Dana,11/28/2025 8:26
41,TCK-1041,closed,access,Issue 41 subject,Description of issue 41,11/9/2023,11/14/2023,Charlie,11/28/2025 8:26
42,TCK-1042,resolved,software,Issue 42 subject,Description of issue 42,6/9/2024,6/12/2024,Fiona,11/28/2025 8:26
43,TCK-1043,closed,other,Issue 43 subject,Description of issue 43,7/30/2024,8/4/2024,Dana,11/28/2025 8:26
44,TCK-1044,in_progress,access,Issue 44 subject,Description of issue 44,8/5/2024,,Bob,11/28/2025 8:26
45,TCK-1045,open,software,Issue 45 subject,Description of issue 45,2/5/2024,,Evan,11/28/2025 8:26
46,TCK-1046,closed,hardware,Issue 46 subject,Description of issue 46,1/27/2024,2/1/2024,Fiona,11/28/2025 8:26
47,TCK-1047,closed,network,Issue 47 subject,Description of issue 47,6/13/2024,6/15/2024,Bob,11/28/2025 8:26
48,TCK-1048,open,other,Issue 48 subject,Description of issue 48,5/16/2023,,Fiona,11/28/2025 8:26
49,TCK-1049,open,other,Issue 49 subject,Description of issue 49,9/19/2023,,Evan,11/28/2025 8:26
50,TCK-1050,resolved,software,Issue 50 subject,Description of issue 50,3/20/2023,3/25/2023,Evan,11/28/2025 8:26
51,TCK-1051,open,network,Issue 51 subject,Description of issue 51,7/1/2023,,Fiona,11/28/2025 8:26
52,TCK-1052,open,other,Issue 52 subject,Description of issue 52,7/2/2023,,Alice,11/28/2025 8:26
53,TCK-1053,resolved,other,Issue 53 subject,Description of issue 53,9/9/2023,9/10/2023,Fiona,11/28/2025 8:26
54,TCK-1054,closed,hardware,Issue 54 subject,Description of issue 54,11/29/2024,12/7/2024,Bob,11/28/2025 8:26
55,TCK-1055,closed,access,Issue 55 subject,Description of issue 55,3/7/2023,3/16/2023,Evan,11/28/2025 8:26
56,TCK-1056,closed,other,Issue 56 subject,Description of issue 56,8/23/2024,8/29/2024,Bob,11/28/2025 8:26
